"ID","file_name","main_post","name_abbreviation","offentlig_privat","date_post","n_post_day","week","group","municipality","authorName","authorId","id","parentId","timeLabel","subcomment","text","hasMedia","mediaUrl","mediaText","mediaAltText","has_comments","total_n_comments","n_total_reactions","count_like","count_heart","count_haha","count_care","count_angry","count_sad","count_wow"
1403,"SoHæO-2106-1_slut.json",1,"SoHæ","O","2106","1",8,"treatment","copenhagen","Sophie Hæstorp AndersenSophie Hæstorp AndersenSophie Hæstorp AndersenKøbenhavns RådhusKøbenhavns RådhusKøbenhavns Rådhus","sophiehaestorp",NA,NA,NA,NA,"VI ER KOMMET TÆTTERE PÅ MÅLSTREGEN MOD NYT VERDENSKLASSE CYKELLØB I KBH!
I verdens bedste cykelby København skal cykelløb ikke bare være noget man ser fra sofaen. Det skal ses fra første parket i vores gader!
Derfor har vi arbejdet benhårdt på at bygge videre på sidste års store Tour de France-succes. Drømmen er at kunne afholde et World Tour cykelløb med mål i København. Årligt, for ikke bare verdens bedste mandlige ryttere – men også verdens bedste kvindelige ryttere.
Vi har nu fået medvind! Partnerskabet bag hele projektet har præsenteret vores koncept for den internationale cykelunion. Og meldingerne derfra var positive. Hvis alt går vel kan vi afholde det første cykelløb i 2025. Vi knokler videre.
Læs mere om hele vores koncept, der er meget mere end ”bare” et cykelløb - via link i kommentarfeltet!",TRUE,"https://www.facebook.com/photo/?fbid=809036790779176&set=a.337619364587590&__cft__[0]=AZVxFV2r-F12Jb2J459rbTdLMsQvKb1gG3sptLchYdwUh1gO2aPlTAY-WUDtLAYnvy9RLgsBxs5XjvWPT0xSrF70-ll1CMDZcckHeFWKsIoBSzSQKCq2LSa6wbeLNlSRnG3O9hDMJSroQS17fvilpIjs&__tn__=EH-R","Kan være et billede af 2 personer og tekst",NA,1,34,227,205,22,0,0,0,0,0
1402,"SoHæO-2006-1_slut.json",1,"SoHæ","O","2006","1",8,"treatment","copenhagen","Sophie Hæstorp AndersenSophie Hæstorp AndersenSophie Hæstorp AndersenHans Knudsens PladsHans Knudsens PladsHans Knudsens Plads","sophiehaestorp",NA,NA,NA,NA,"I Socialdemokratiet i København - SIK arbejder vi på at få benzin- og dieselbilerne ud af byen i 2030. Vi vil have mindre CO2 og renere luft. Så simpelt er det.
I fremtiden vil der stadig være brug for at fragte varer og mennesker rundt i byen i biler. Men bilerne skal fylde mindre i vores byrum, og de skal være mindre forurenende. Derfor er vi på Rådhuset i gang med at gøre det langt mere nemt og bekvemt at vælge en elbil i stedet. Blandt andet med flere ladestandere rundt i hele byen.
Vi er langt fra i mål endnu, men nu kan man køre forbi Hans Knudsens Plads på Østerbro og få ladet sin elbil op i Københavns største lynladestation. Det er godt nyt for elbilisterne – og det er endnu et skridt i en grønnere retning for København!
Clever",TRUE,"https://www.facebook.com/photo/?fbid=808783564137832&set=a.337619364587590&__cft__[0]=AZW-Cafa_RLUsZCacx84r0illG7T9xP_AkOM0_3ThDU06T9b9zVpa2ui0TVzYp45OCHKOZd0Y5D3X3l7wtVMW592T4Gg11POdE8ZzfF5N8KeN20940berG5uS_xGbkqSc0R3WgM7Qxl74HI4AQupxLMw&__tn__=EH-R","Kan være et billede af 3 personer og parkometer",NA,1,9,78,71,7,0,0,0,0,0
1401,"SoHæO-1906-1_slut.json",1,"SoHæ","O","1906","1",8,"treatment","copenhagen","Sophie Hæstorp Andersen","sophiehaestorp",NA,NA,NA,NA,"Nu har jeg set de første par studenter i gadebilledet. Stort tillykke til jer alle! Uanset farven og tallet i huen kan I være ekstremt stolte af jer selv. Jeg husker stadig dagen, hvor jeg fik huen på i 1994 af min religionslærer. Og om lidt får min egen datter også sin hue på. Sommer i København, glade unge mennesker – dejlig tid vi er i ligenu.",TRUE,"https://www.facebook.com/photo/?fbid=808240087525513&set=a.337619364587590&__cft__[0]=AZWJvhOtdtaqU7iqTFhKSWlwIWhYxiJ68zqC3IDJHjnKvEc3CITO1iAMOPsyPnBTmDVpcSOfjB8vds0QNjTu6c-pc7EMfVGkpiz8bSlkh5rwgyVmBeNFGowDAncNRGjI3OE6idU5npQc77YnLbz6XD-Q&__tn__=EH-R","Kan være et billede af 3 personer og smilende personer",NA,1,18,396,333,63,0,0,0,0,0
1400,"SoHæO-1905-1_slut.json",1,"SoHæ","O","1905","1",3,"treatment","copenhagen","Sophie Hæstorp Andersen","sophiehaestorp",NA,NA,NA,NA,"Er du klar til en virkelig gamechanger? København – Malmø på bare 20 min!
I København elsker vi vores metro. Den er hurtig og pålidelig og binder bydele sammen både fysisk og mentalt i vores hoveder. Så hvor vildt, vil det være, hvis vi i fremtiden kan bruge en metro under Øresund til at skabe sammenhæng til både mennesker, uddannelsesmuligheder, jobs og forskning i et endnu højere tempo end i dag?
Reelt gøre det til en mulighed at bo enten i København og dets opland, eller i Malmø-området og arbejde eller uddanne sig på den anden side af Øresund. Det skriver Politiken om i dag.
Det er klart, nye metrolinjer til vores bydele og hospitaler i København og hovedstadsområdet stadig er førsteprioriteten for mig og Socialdemokratiet - men der er flere fordele ved Øresundsmetroen, som gør, at vi også undersøger den.
Det tager mindst 10-15 år at planlægge et så stort projekt, og det koster mange penge, som vi først skal finde. Men EU vil formentlig gerne støtte, og hvis Sverige kan finansiere selve tunellen - som Danmark i dag finansierer tunnellen under Fehmern Bælt til Tyskland, så kan vi godt komme videre uden at skulle nedprioritere en række for os lige så vigtige investeringer, som f.eks. metro til andre bydele Og hovedstadens virksomheder vil langt bedre kunne rekruttere arbejdskraft fra Sydsverige, hvor arbejdsløsheden er langt højere end i Danmark.
En Øresundsmetro er ikke op til Malmø og København alene. Det vil kræve ekstern finansiering, og at de danske og svenske regeringer træffer beslutningen.
I kan læse mere i Politiken via link i kommentarfeltet.",TRUE,"https://www.facebook.com/photo/?fbid=790109436005245&set=a.337619364587590&__cft__[0]=AZXNSPTnkm7gjzHF6KILj2rCYr0T1-7oKMxZO_wRTTUY2G8Uo2MFdItClmzlQl6u9mMNn1HITJpEVNXTL1NkteaJDQ4oxP5ppVzedeSwtVYyoSb0thr_cMxcExyL5X1iS0zGwwcCnmOU2XscAx1dQk_M&__tn__=EH-R","Ingen tilgængelig billedbeskrivelse.",NA,1,24,52,49,3,0,0,0,0,0
1399,"SoHæO-1805-1_slut.json",1,"SoHæ","O","1805","1",3,"treatment","copenhagen","Sophie Hæstorp AndersenSophie Hæstorp AndersenSophie Hæstorp AndersenCopenhagen City HallCopenhagen City HallCopenhagen City Hall","sophiehaestorp",NA,NA,NA,NA,"Blev totalt “star struck”, da jeg havde æren af, at præsentere jazz-trompetist Palle Mikkelborg , percussionist Marilyn Mazur og guitarist Jakob Bro ved Københavns Kommunes traditionsrige fest for diplomatkorpset.
“Anything but grey” var det første jazzalbum, som jeg købte, som 18-årig med Palle Mikkelborg. Dengang spillede jeg selv trompet og tog til Copenhagen Jazz Festival for at lytte til koncerter på Gråbrødre Torv og Caféen Funke på Sankt Hans Torv.
Hvis endnu ikke du har set dokumentarfilmen Music for Pigeons af og med Jakob Bro og Jørgen Leth med nogle af de største jazzmusikere i verden, så kan jeg varmt anbefale den.
København har siden 1960’erne huset en af Europas største jazzfestivaler med over 1300 koncerter med internationalt anerkendte musikere.
I aften fik vi en lille smagsprøve fra nogle af jazzens bedste
#copenhagenjazzfestival",TRUE,"https://www.facebook.com/photo/?fbid=789257922757063&set=pcb.789257946090394&__cft__[0]=AZVAotY2_Or0ZhrOMtPZ-b3igBsHLTW8FE_ww_JU1AJLOfkgffi_yABYZA-oEoS9nHsSS0b-F7yMU4UUjMhsRKEINbS3T8M1-Td5TuF1m214DgH8OXvxJG03nwnNiX3F5zGdi-j__yfwSoO0NIGxhi58&__tn__=*bH-R","",NA,1,13,185,167,18,0,0,0,0,0
1398,"SoHæO-1406-1_slut.json",1,"SoHæ","O","1406","1",7,"treatment","copenhagen","Sophie Hæstorp AndersenSophie Hæstorp AndersenSophie Hæstorp AndersenCOPENHELLCOPENHELLCOPENHELL","sophiehaestorp",NA,NA,NA,NA,"HOT TAKES TIL COPENHELL
Det er en brandvarm uge. Temperaturen er ikke bare høj, - der er både Folkemøde OG COPENHELL oveni hinanden. Jer der kender mig, ved at jeg er svært glad for musik og koncerter. Så derfor kan jeg selvfølgelig ikke misse COPENHELL. Jeg rammer festivalen senere i dag – og på lørdag. Her er mine ”hot takes” for begge dage:
Onsdag:
Sick of it All – old-school NY-hardcore. Høj score på karate- og kinddans-barometeret.
Touché Amoré – råt og emotionelt, men med et touch af indie-rockens vingesus.
Mötley Crüe – jeg krydser fingre for at Tommy Lee har taget tromme-rutchebanen med til Refshaleøen. Høj score på underholdningsværdi.
Employed to Serve – riffs-galore. Er du til groovy guitar-riffs skal du tjekke ind her.
Def Leppard – der er nok ikke meget puddelhår tilbage på herrerne længere, men der kan synges med.
Zeal & Ardor – Et vildt genre-mix. Skal opleves live.
Lørdag:
Livløs – fee melo-død, som de siger i Aarhus. Fantastisk, at danske bands får chancen på de helt store scener til festivallen.
Night Fever – ægte københavner hardcore.
Ghost – hvem skulle tro, at den svenske pop-arv fra ABBA kunne leve videre i metalverdenen?
Spiritbox – Den helt store hype i moderne metal for tiden. Spændende at se hvad de kan live.
Blackbraid – skal du se noget udfordrende black-metal, så skal du tjekke ind til denne koncert.
Guns ’n Roses – mine gamle helte
Kellermensch – kan du holde dig vågen til 00:45, så er jeg sikker på at Danmarks bedste rockband nok skal levere et brag af nattekoncert.
Ses vi derude?",TRUE,"https://www.facebook.com/photo/?fbid=804990851183770&set=a.337619364587590&__cft__[0]=AZVfsexgGgpVIM-68Y0awJmFTpqA5bmgsbQ2RwcK_a0AKY77fEOg9ejc1lJapDv9rUOlFj5BSXbOapBQ-3_0wkTbXyPxidrLrFK2W1Z_lKc98ZSb02gNoF8W8qQUofarbR0x9zgNKkXun4HCNrKdLXjt&__tn__=EH-R","Kan være et billede af 1 person",NA,1,27,379,327,52,0,0,0,0,0
1397,"SoHæO-1305-1_slut.json",1,"SoHæ","O","1305","1",2,"treatment","copenhagen","Sophie Hæstorp Andersen","sophiehaestorp",NA,NA,NA,NA,"Kun det allerbedste til ungdommen! Selvfølgelig bliver Dronningen inviteret, når hovedstadens dygtigste svende skal hyldes på Københavns Rådhus. En stor ting, også for mig.
79 nyuddannede håndværkere fik medaljer. Alle har afsluttet deres svendeprøve med topkarakterer. Flot klaret - nu er de rollemodeller for vores erhvervsuddannelser
Det var en helt særlig aften i går
På Københavns Rådhus fik de dygtigste af vores nybagte svende fra København, medaljer, legater og æren at hilse på H. M. Dronningen
Det er Håndværkerforeningen København, som står for den flotte begivenhed, hvor 11 svende fra skolen fik medaljer. Stort tillykke til jer alle
I videoen fortæller Lasse Green Laumann (vvs-energispecialist) og Frode Lange Sckerl (møbelsnedker) samt direktør Jesper Østrup om begivenheden.",TRUE,"https://www.facebook.com/roskildetekniskeskole/videos/636005004549354/?__cft__[0]=AZWHzOzFMgtXEG3FEc3J1q0RaEA-7XldbOGxeF58ME3MrE_FuwqZQTJ5EZ-Xj9pzH3t5MBwz9aKjfMgSbd1Wy5Zxa6PypK5jOl46kCDpkVXIhq1TRcrXefufECHxYWCrESm-L7KCd4BaC5lLK2lCj6jDQbHx3qaMCm-5Q06qBo2sqnUKEs8B5xf5kU0MJsFn6F4&__tn__=%2B%3FFH-y-R",NA,NA,1,5,40,33,7,0,0,0,0,0
1395,"SoHæO-1105-1_slut.json",1,"SoHæ","O","1105","1",2,"treatment","copenhagen","Sophie Hæstorp AndersenSophie Hæstorp AndersenSophie Hæstorp AndersenNordhavnNordhavnNordhavn","sophiehaestorp",NA,NA,NA,NA,"Med vind i håret og sol i ansigtet har vi nu taget det første spadestik til Nordhavnstunnelen. En vigtig milepæl, der på sigt vil mindske trængslen og luftforureningen i vores gader!
Hvis jeg skal uddybe, så fjerner tunnelen en stor del af den tunge trafik fra Østerbro og Nordhavn, så den i stedet kommer under jorden i den 1,4 kilometer lange tunnel. Den sørger for, at infrastrukturen er i orden til fremtidens Nordhavn, som bliver en endnu større bydel med flere almene, lejer- og ejerboliger, en ny skole og en stor naturpark. Sidst men ikke mindst baner tunnelen vejen for den kommende Østlig Ringvej, der også vil spare centrum af København for tung trafik – fordi den blandt andet leder trafikken fra Nordsjælland til lufthavnen udenom vores historiske bymidte.",TRUE,"https://www.facebook.com/photo/?fbid=785754499774072&set=a.337619364587590&__cft__[0]=AZX2bqdr2gn_wZ4-FMJZxpHl7tb432ycEgl0iBUYNNX2GbAXqqJTuch9N3qjqq5UrubVz0v3RC_2PWzKczUXywJ8hWWRz905ncTrgbGF_NyLybvKbJuhryAuO62SWSzShmHl5fekYerX-yrFAVJWMce-&__tn__=EH-R","Ingen tilgængelig billedbeskrivelse.",NA,1,30,136,136,0,0,0,0,0,0
1257,"RaAzP-0105-1_slut.json",1,"RaAz","P","0105","1",1,"treatment","aarhus","Rabih Azad-Ahmad","rabih.azadahmad",NA,NA,NA,NA,"Hvor var det spændende at være på Maker Faire i DOKK1. En masse fantastiske mennesker, der kombinerer kreativitet, teknologi, skaberkultur i skøn forening. Der var mange børnefamilier og masser af fællesskab og god oplevelser.",TRUE,"https://www.facebook.com/photo/?fbid=10230715322412580&amp;set=pcb.10230715323972619&amp;__cft__[0]=AZWEa7rAd_a_PvMkjoeGsxqfdzNidMzjPltTNS9BXkBhsIMevHA8A_mHmeEZLb4EeVoYzr9MoJYAx-IFzQVni31JeqoQPjuu_n2HDTdhy_FMbz1fNWDic2KBI0zSvSO_Bds&amp;__tn__=*bH-R","",NA,1,2,31,31,0,0,0,0,0,0
1251,"RaAzO-1505-1_slut.json",1,"RaAz","O","1505","1",3,"treatment","aarhus","Rabih Azad-Ahmad","rabihaarhus",NA,NA,NA,NA,"Bibliotekselskere fra 29 nationaliteter er i vores fantastik Dokk 1 til Nex Library 2023.
Konferencen har fokus på tre vigtige temaer: Det bedste liv for børn, bæredygtig by og hvordan vi kan udvikle vores demokrati. Som altid meget interessant og inspirerende at møde de engagerede biblioteksfolk fra den stor verden.",TRUE,"https://www.facebook.com/photo/?fbid=967482874667517&amp;set=pcb.967483088000829&amp;__cft__[0]=AZVRliP1b5SId8NjYXQbwrcCzDEM7glXA_j50K3T2gmXUrRR6GTiLEJVIRZPx6rdXgHHNAGb63xGVuaCfZTj10tAca_5U2qZbymCccMh2MbZ5DArPN2AZYOUG29BDDdHEW2Ma8xt2J0obA11AIqAcNqr&amp;__tn__=*bH-R","",NA,0,0,11,10,1,0,0,0,0,0
1250,"RaAzO-1006-1_slut.json",1,"RaAz","O","1006","1",6,"treatment","aarhus","Rabih Azad-Ahmad","rabihaarhus",NA,NA,NA,NA,"Jeg har i dag på byens vegne takket de fantastiske frivillige og de dygtige ansatte i Event for endnu en fremragende event. Det blev til 11-dage med masser af spændende aktiviteter og liv i forbindelse med The Ocean Race 👏💪🙏.",TRUE,"https://www.facebook.com/photo/?fbid=986124262803378&amp;set=pcb.986124316136706&amp;__cft__[0]=AZW73iJnvAb5OsIDytvs5EW386sp5SsMSsJaGKLv2eIMeIwwlTg5VFxIpTUoNqbBEhCr3D5m65fws3cenMjKhRn1vLpui8jfPK2NJ_7Je9Vc7ioKLsM6pOWF0HY_goHTWQb4isjp88cm7vTIkVdDMG7N&amp;__tn__=*bH-R","",NA,1,1,24,24,0,0,0,0,0,0
1249,"RaAzO-0905-1_slut.json",1,"RaAz","O","0905","1",2,"treatment","aarhus","Rabih Azad-Ahmad","rabihaarhus",NA,NA,NA,NA,"Åbent møde i Rådhuset om fremtiden for den kollektivtrafik i Aarhus 🚆🚄. Peter Thyssen lægger ud med historikken bag letbanetilblivelsen.",TRUE,"https://www.facebook.com/photo/?fbid=963518025064002&amp;set=a.499499751465834&amp;__cft__[0]=AZVLjGU2_7y90-hkG8rWsxRH5p0bGS1StHR3IRu0__dJ4u_KyGmU9GH7_OJublnxtFZAWrSwD5f66-vzazKQPgyV2iA1X9cdsxozXVYr5jzWCxoDB5SKlcoKh4HbaXnB2i4Kpqa6DYH-iJHs5NgqTFZ9&amp;__tn__=EH-R","Kan være et billede af 5 personer og personer, der studerer",NA,1,1,6,5,1,0,0,0,0,0
1248,"RaAzO-0806-1_slut.json",1,"RaAz","O","0806","1",6,"treatment","aarhus","Rabih Azad-Ahmad","rabihaarhus",NA,NA,NA,NA,"Flag handover mellem Haag, Holland og Aarhus, Denmark. The Ocean Race
Aarhus Internationale Sejlsportscenter",TRUE,"https://www.facebook.com/photo/?fbid=984558749626596&amp;set=pcb.984558869626584&amp;__cft__[0]=AZWEQFwUMMOuaEiODrD4lKcZBGbyNmZN20Az-svWaqDf2HXAhNAVSzBXFqu7pOLvED34bNHeX_gtTyPWWBK9SjTXtxP8N88BMe-0_xwWo-6wvPVwfZWDzqyRRbl1bKEFMZ7q0gqB1usYPG-BelODE1wE&amp;__tn__=*bH-R","",NA,0,0,33,33,0,0,0,0,0,0
1247,"RaAzO-0706-1_slut.json",1,"RaAz","O","0706","1",6,"treatment","aarhus","Rabih Azad-Ahmad","rabihaarhus",NA,NA,NA,NA,"24 organisationer har i dag lanceret en handleplan mod diskrimination. Det synes jeg er stærkt, at så mange går sammen om en vigtig sag. I Radikale Venstre har vi i flere år arbejdet for en lokal og national handleplan mod etnisk diskrimination.",TRUE,"https://www.facebook.com/photo/?fbid=983574779724993&amp;set=pcb.983574853058319&amp;__cft__[0]=AZUD8QE2s7rzoe4IrZHmGJAUlfvmZomVcdFEl8hx44tvyhxcFSqDHAjUbDR8it6ioCtPo9bJ7rWRlxFUQINO40EUGBBg9mvPJAGEUHaUZOZsSDX6DjUKUx6T2GGrFLQ6vciT335POUmDVQZRtYSckmx_&amp;__tn__=*bH-R","",NA,0,0,22,19,3,0,0,0,0,0
1207,"NiPeP-2406-1_slut.json",1,"NiPe","P","2406","1",8,"treatment","copenhagen","Niels Peder Ravn","niels.p.ravn",NA,NA,NA,NA,"»Københavnerforslaget« er en realitet!
Jeg er både glad for og stolt over, at Københavnernes helt eget Borgerforslag bliver introduceret i sensommeren.
Jeg har talt med København Liv om nyheden, og de se og læse med her.
Og så vil jeg gerne vide, hvad du synes om det nye tiltag?
https://kobenhavnliv.dk/.../farvel-til-fugleoeen-nyt...",TRUE,"https://www.facebook.com/photo/?fbid=10159535543226334&set=a.301580316333&__cft__[0]=AZVdbDxhqv1YRHK3QOtQqX3ukHPZ8V1WlYczd7WwZr6SCCnRGt-Ml2T4A7hM98pUUSTgkq3uZH-ylfsh2LveeMHsJf5UIBoxZy_aUhVyViGDoblIm64sgpDnlVUfbu2KGGw&__tn__=EH-R","Kan være et billede af 2 personer og tekst, der siger ""KOBENHAVN Farvel til Fuglegen? Nyt kobenhavnerforslag tvinger politikere til at stemme om borgernes reelle onsker 02:31 02:32 CC Det mả krible i fingrene pả modstanderne af byggeriet pả Amager Faelled og naboerne til den forhadte og dode Fugle-o. Rädhuset har nemlig netop vedtaget, at borgere kan samle 5000 underskrifter sammen digitalt og få det behandlet Borgerrepraesentationen.""",NA,1,10,13,12,1,0,0,0,0,0
1205,"NiPeP-2106-1_slut.json",1,"NiPe","P","2106","1",8,"treatment","copenhagen","Niels Peder RavnNiels Peder RavnNiels Peder RavnØregård GymnasiumØregård GymnasiumØregård Gymnasium","niels.p.ravn",NA,NA,NA,NA,"Tillykke til årets studenter.
Og ikke mindst til min egen, Chili, som forlader ØG med et 12-tal i huen.
På sådan en junidag er det værd at huske, at fremtiden er lys, og at der er så meget, I alle kan bidrage med for at gøre Danmark et endnu bedre sted at leve.
Tillykke",TRUE,"https://www.facebook.com/photo/?fbid=10159530343701334&set=a.301580316333&__cft__[0]=AZXk24bv8OWiI-WqPThdZb8B-bz6ywYpDG8e8REj0S6haw-Zw-QzIAdE0KUoCLWUtfKNu8bMO5tOC121rWQV3ljZe1oLPfiJKEjKHT6Dki46zqbc64rARjoZpkdC3yCvGyb6rBz1niOuKBTZpH8aPV6OT49t-yxqZM2gLhzqTbEl2w&__tn__=EH-R","Kan være et billede af 2 personer",NA,1,66,219,179,40,0,0,0,0,0
1204,"NiPeP-2005-1_slut.json",1,"NiPe","P","2005","1",3,"treatment","copenhagen","Niels Peder Ravn","niels.p.ravn",NA,NA,NA,NA,"Er diskrimination i nattelivet ok?
Nej, naturligvis ikke. Men det er heller ikke ok at lægge regningen for 30 år fejlslagen integrationsindsats i døren på byens natklubber.
Lyt med på en god debat, når Kashif Ahmad og jeg er gæster hos Anders Storgaard og Nikoline Prehn - Folketingskandidat.
https://web.24syv.dk/audio_clips/312601",TRUE,"https://www.facebook.com/photo/?fbid=10159468115416334&set=a.301580316333&__cft__[0]=AZWBxypspB7Vddon7HtsHODnY5hk5fVj9JZu7KKK7GDn9VIIWgoNBYVzqIB7KQCxpXWt7gOjdrPBO1nBiZJvaXTCxKTrhHvodIIkW5fhaPZOvv6W9luPj6FzmOcBqfFv2tMyFIeFiB5CyFsIxN3jdkC6fyvz0S3fyhe95noPzS-YIw&__tn__=EH-R","Kan være et billede af 4 personer, smilende personer og tekst",NA,1,15,34,34,0,0,0,0,0,0
1203,"NiPeP-1906-1_slut.json",1,"NiPe","P","1906","1",8,"treatment","copenhagen","Niels Peder Ravn","niels.p.ravn",NA,NA,NA,NA,"Af hjertet tak for alle de dejlige hilsner i går.
Det er i sandhed skønt, at I hver i sær gav jer tid til at skrive venlige ord på min seksoghalvtredsindstyvende fødselsdag.
Er det slemt at fylde 56? Nej da. Jason Statham er ligesom jeg årgang 1967. Og enhver kan jo se, hvor meget bedre, jeg holder mig. Manden har jo — i modsætning til mig — ikke et hår på hovedet.
Tak, kære venner!
Tusinde tusinde tak",TRUE,"https://www.facebook.com/photo/?fbid=10159526377846334&set=a.301580316333&__cft__[0]=AZWEGNEIfX-iiaulviAmygDKP3vhafaut54cr34HRw_yzihHFc4ZyBooERM7ridbe0Cj2I8Xw3NssW4mfNlIfOlgiOHfLCN9Vt-cKKZ4brDalVC2yut6Cakq9v2Va4giw-M&__tn__=EH-R","Kan være et billede af 1 person og skæg",NA,1,38,94,60,5,29,0,0,0,0
1202,"NiPeP-1705-1_slut.json",1,"NiPe","P","1705","1",3,"treatment","copenhagen","Niels Peder Ravn","niels.p.ravn",NA,NA,NA,NA,"Nu kommer Københavnerforslaget.
Noget af det, jeg mest stolt af efter mit første 1 ½ år i politik, er at jeg fik driblet en ordning for Borgerforslag igennem på Rådhuset.
Jeg kalder det »Københavnerforslaget«, det går live til september — og det har jeg talt lidt med Altinget om.
Ideen er helt i tråd med Borgerforslaget. Hvis man kan samle 5.000 digitale underskrifter bag sin sag, skal Københavns Borgerrepræsentation behandle sagen.
Det er en meget konkret styrkelse af det nære demokrati — og det bliver godt for både borgere og politikere.
https://www.altinget.dk/.../konservative...",TRUE,"https://www.facebook.com/photo/?fbid=10159463411886334&set=a.301580316333&__cft__[0]=AZXDOtUYO72b6I6ZOkjAOhMWik9ze4-QstHa7muwUSbhuKC0mrvbd4UD2EBaUVUva0JP5roNfcuAXC-9j5rObCQohTSZQoAWLfK2iAFbD3KgFyJaCdgROs6pr18VkJlDf3w&__tn__=EH-R","Kan være et billede af 10 personer og tekst, der siger ""Konservative: Kobenhavnerforslag giver en stemme til dem, som normalt ikke kommer til orde Kommunale borgerforslagsordninger forer sjaeldent til politisk forandring. Alligevel indforer Kobenhavns Kommune snart sin egen version af ordningen. Altinget har spurgt... Marie Schonning Jensen""",NA,1,4,13,13,0,0,0,0,0,0
1201,"NiPeP-1305-1_slut.json",1,"NiPe","P","1305","1",2,"treatment","copenhagen","Niels Peder Ravn","niels.p.ravn",NA,NA,NA,NA,"Jeg finder den amerikanske woke-strømning indenfor film og skuespil åndssvag.
Den strømning, hvor der f.eks. kræves en transkønnet skuespiller for at kunne spille en transkønnet karakter.
Eller en blind skuespiller for at spille en blind karakter.
Den tankegang undergraver jo sådan set hele ideen med skuespilfaget; at påtage sig en rolle.
Så min første tanke i forbindelse med, at en brunhudet kvinde skal spille en lyshudet kvinde i musicalen Matador var, at det vel egentlig er ok …
Men så kom jeg til at tænke på, hvad der ville ske, hvis en lyshudet kvinde skulle spille en brunhudet kvinde …
Undskyld forstyrrelsen.",TRUE,"https://www.facebook.com/photo/?fbid=10159455948161334&set=a.301580316333&__cft__[0]=AZUUHWyP7Rh_7niWFyM8LAke4s3jju2FPo2U_EWM_meUIq-eYLluMxmxzKs1wkI3oDgshWl2mKiwAfTvlAqfw8DIY0AB-g_hsFvAB6owodw5HMmK6Ek41JC3IuhQKTXbT6w&__tn__=EH-R","Kan være et billede af 3 personer og tekst",NA,1,29,53,42,0,11,0,0,0,0
